Id,Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,,Bankruptcies,Current Credit Balance,Monthly Debt,Credit Score
113,Home Mortgage,902918,10+ years,0,13,15.2,329252,0,,0,31559,9706,738
114,Rent,1030579,< 1 year,0,11,8,141020,0,,0,95247,10478,624
115,Home Mortgage,2041094,3 years,0,19,16,1034616,0,,0,455696,46945,736
116,Home Mortgage,1039984,,0,10,23.8,147950,0,,0,95456,13780,7390
117,Home Mortgage,1350083,5 years,0,10,12.2,325490,0,,0,168663,15076,724
118,Home Mortgage,1637629,10+ years,0,9,17,372878,0,,0,285323,24974,724
119,Rent,566409,3 years,0,12,6,288772,0,,0,82308,11611,667
120,Home Mortgage,,5 years,0,8,6.4,405284,0,,0,158555,21091,
121,Rent,405346,2 years,0,10,9.8,251900,0,,0,41762,7600,746
122,Rent,1217349,< 1 year,0,10,16.7,366498,0,,0,298490,25361,707
123,Rent,494798,6 years,0,9,10.3,330176,0,,0,124602,6968,694
124,Home Mortgage,2379047,10+ years,0,11,21.7,1046694,0,,0,854240,25376,679
125,Home Mortgage,1004207,6 years,0,10,14.8,380248,1,,1,139897,12218,726
126,Home Mortgage,2334150,2 years,0,14,17.7,1467620,0,,0,996246,42987,708
127,Home Mortgage,1933573,4 years,0,9,20.5,847990,0,,0,186751,12214,748
128,Home Mortgage,1242657,10+ years,0,15,13.2,697004,0,,0,164331,12841,732
129,Home Mortgage,1191015,3 years,0,15,22.4,1392116,0,,0,660041,22629,739
130,Have Mortgage,,10+ years,0,8,33.6,651794,0,,0,401356,15390,
131,Rent,753464,< 1 year,0,12,14.3,516692,0,,0,319504,10862,740
132,Home Mortgage,1594176,10+ years,0,8,18,909018,0,,0,372115,6509,735
133,Home Mortgage,1878910,10+ years,0,17,21.7,4477858,0,,0,1009356,16441,693
134,Home Mortgage,564300,10+ years,0,14,19.1,349844,1,,1,58007,15001,668
135,Rent,,9 years,0,11,14.1,296692,0,,0,187321,19964,
136,Rent,1219724,10+ years,0,7,18.8,385242,0,,0,159695,17971,723
137,Home Mortgage,3694037,10+ years,0,6,23,935814,0,,0,661922,23642,724
138,Rent,1682298,3 years,0,5,12.9,445984,0,,0,223782,7388,748
139,Home Mortgage,,4 years,0,10,15.5,209220,0,,0,103360,18460,
140,Rent,968924,10+ years,0,12,21.2,196460,0,,0,88236,10497,725
141,Home Mortgage,,10+ years,0,8,19.2,359084,0,,0,142329,26793,
142,Rent,606062,8 years,0,11,27.3,235620,2,,2,105811,11566,731
143,Own Home,,10+ years,0,6,20.4,249392,0,,0,152285,10321,
144,Rent,,,0,16,20.7,612216,0,,0,378062,25810,
145,Home Mortgage,1534478,4 years,0,14,15.7,539220,0,,0,321784,17391,748
146,Home Mortgage,700625,,0,11,20.1,414502,1,,1,156427,3912,738
147,Rent,1576791,1 year,0,6,9.7,448954,0,,0,94221,11524,748
148,Home Mortgage,2676758,10+ years,0,17,7.8,1387606,0,,0,293607,19183,737
149,Home Mortgage,395124,9 years,0,16,16.5,561462,0,,0,207537,9582,701
150,Home Mortgage,,10+ years,0,12,16.8,362032,1,,1,229482,15794,
151,Home Mortgage,1440257,4 years,0,7,16,1286186,0,,0,242155,2953,746
152,Home Mortgage,1026817,10+ years,0,19,20.8,957550,0,,0,619419,18055,7140
153,Rent,749816,9 years,0,7,14.5,329890,0,,0,207138,12934,7470
154,Rent,,3 years,0,12,13.8,271700,0,,0,99484,3454,
155,Home Mortgage,918384,10+ years,0,10,33.7,763906,0,,0,502075,14388,744
156,Home Mortgage,1988825,10+ years,0,4,14.2,730466,0,,0,383553,6911,737
157,Rent,2421835,3 years,1,2,23,754160,1,,0,120498,3713,749
158,Rent,901588,< 1 year,0,5,16,131230,0,,0,88407,7566,661
159,Home Mortgage,,4 years,0,10,20.2,1417042,0,,0,671878,33841,
160,Rent,756276,2 years,0,5,16.7,525778,0,,0,53580,1683,739
161,Rent,681435,< 1 year,0,8,18.8,261602,0,,0,127870,4594,742
162,Home Mortgage,2131591,< 1 year,0,15,31.7,4191176,0,,0,3547262,20783,728
163,Rent,735528,4 years,0,11,14.3,546920,0,,0,403845,15201,714
164,Home Mortgage,2899305,10+ years,0,15,16.6,667480,0,,0,328016,64751,709
165,Home Mortgage,1951319,4 years,0,7,18.6,601766,0,,0,220875,13936,736
166,Home Mortgage,4580976,4 years,0,18,25.5,1553530,0,,0,633289,94674,727
167,Home Mortgage,1808800,5 years,0,7,23.3,522104,1,,1,257013,19897,717
168,Home Mortgage,2379522,2 years,0,23,17.8,1267530,0,,0,839629,39064,743
169,Home Mortgage,2334226,,0,13,31.4,2170894,0,,0,628083,30150,750
170,Home Mortgage,664810,10+ years,0,11,21.1,393162,1,,1,117477,5651,741
171,Rent,848426,10+ years,0,10,17.9,274934,0,,0,163362,13221,718
172,Rent,1197323,3 years,0,17,12,671176,0,,0,213902,17660,748
173,Rent,1501855,10+ years,0,8,14.7,372196,0,,0,132430,28285,678
174,Own Home,708491,1 year,0,16,19.4,559020,0,,0,438862,20960,709
175,Home Mortgage,1281455,5 years,0,9,20.5,552662,0,,0,368486,26056,675
176,Own Home,833416,10+ years,0,7,9.5,237138,0,,0,58159,3091,667
177,Home Mortgage,,10+ years,0,16,24.5,824428,0,,0,317566,25942,
178,Rent,696863,7 years,0,7,7.8,652762,0,,0,187169,9872,718
179,Home Mortgage,1094837,,0,9,39.3,611754,0,,0,230356,17700,743
180,Home Mortgage,2356475,10+ years,0,11,34,465124,0,,0,272745,32009,700
181,Home Mortgage,,3 years,0,17,20.6,1824306,0,,0,967385,63515,
182,Rent,597075,2 years,0,12,4.8,943360,0,,0,97774,3060,737
183,Own Home,,< 1 year,0,9,9.1,101442,0,,0,51585,4553,
184,Home Mortgage,1770895,10+ years,0,19,10.1,1115114,0,,0,471903,24350,741
185,Home Mortgage,2010960,10+ years,1,7,23.4,180488,1,,0,13870,17763,743
186,Rent,1325345,< 1 year,0,16,9.9,980342,0,,0,536788,24850,645
187,Home Mortgage,,3 years,0,24,20.5,2940916,0,,0,985473,40120,
188,Home Mortgage,2657074,7 years,0,16,32,1630618,0,,0,1080131,42513,747
189,Rent,1863311,10+ years,1,17,17.9,948420,2,,1,674937,42856,683
190,Rent,1857554,7 years,0,24,19.7,707630,0,,0,400900,26470,742
191,Rent,479940,5 years,0,23,10.5,450626,0,,0,101574,10799,697
192,Rent,929575,1 year,0,17,14.5,868538,0,,0,182267,17817,748
193,Home Mortgage,,10+ years,0,21,29.4,1714966,0,,0,503576,67783,
194,Rent,1417514,10+ years,0,19,30,611798,0,,0,284791,22562,736
195,Home Mortgage,,1 year,0,19,19.9,809446,0,,0,353723,32651,
196,Rent,815157,7 years,0,3,8.8,0,0,,0,0,5855,738
197,Home Mortgage,1221662,4 years,0,9,10.6,283096,0,,0,95342,15678,728
198,Rent,2298240,10+ years,0,11,13.3,840048,0,,0,587651,18520,7370
199,Home Mortgage,1738044,4 years,0,12,26,402556,0,,0,233966,35919,740
200,Home Mortgage,1341590,8 years,0,12,20.9,700942,0,,0,494589,21801,732
201,Home Mortgage,,6 years,0,7,15,402886,0,,0,265506,17615,
202,Rent,2022835,4 years,0,10,26.8,229746,1,,1,136705,9018,733
203,Rent,1077490,< 1 year,0,10,15.4,271832,0,,0,170677,4597,726
204,Rent,637279,2 years,0,12,10.8,362406,0,,0,231610,11259,745
205,Home Mortgage,,5 years,0,8,25.7,896456,0,,0,194332,6539,
206,Home Mortgage,1304407,2 years,0,12,40.3,607684,0,,0,455544,25979,747
207,Rent,1130196,6 years,0,16,14.4,635052,0,,0,329631,30327,721
208,Home Mortgage,917567,10+ years,0,9,15.8,313478,0,,0,137807,12387,751
209,Home Mortgage,2685536,10+ years,0,12,31,1353286,0,,0,178809,35628,744
210,Own Home,679630,10+ years,0,12,22.4,359876,0,,0,299307,19370,706
211,Home Mortgage,2506252,1 year,0,11,21.4,1589148,0,,0,639559,31328,748
212,Rent,,2 years,0,18,17.3,1540198,0,,0,95779,15642,
213,Home Mortgage,,< 1 year,0,10,21.5,305756,0,,0,202806,21355,
214,Home Mortgage,1101126,10+ years,0,15,26.4,1043658,0,,0,517370,21288,728
215,Rent,567378,4 years,0,11,20.5,238326,0,,0,45904,7414,724
216,Home Mortgage,1627825,10+ years,0,6,30,290136,0,,0,136306,24689,745
217,Home Mortgage,1733674,10+ years,0,19,22.4,2847174,1,,1,287698,33084,7040
218,Home Mortgage,,3 years,0,8,23.6,323312,0,,0,230926,5487,
219,Rent,564357,7 years,0,9,9.8,455048,0,,0,311258,14015,731
220,Home Mortgage,656336,5 years,0,4,15.3,286044,0,,0,237405,6837,700
221,Own Home,1485857,< 1 year,1,10,10,407946,1,,0,98287,19811,703
222,Rent,892791,2 years,0,20,9.6,141570,0,,0,86811,3303,741
223,Rent,,2 years,0,9,21.8,650562,0,,0,383743,7886,
224,Home Mortgage,1226583,7 years,0,15,12.2,776160,0,,0,350569,16048,660
225,Own Home,583224,1 year,0,6,23.1,159830,0,,0,128231,4666,712
226,Home Mortgage,509599,,0,12,38.7,836220,0,,0,578474,14354,704
227,Rent,2299836,6 years,0,12,15,902792,0,,0,362558,46188,701
228,Home Mortgage,486552,10+ years,0,6,26.6,495924,0,,0,174325,4906,738
229,Home Mortgage,2065756,3 years,0,15,20.1,641432,0,,0,232655,45791,739
230,Rent,835601,2 years,0,7,11.8,96800,0,,0,74233,5146,715
231,Rent,563502,2 years,0,5,24.3,47938,0,,0,9310,8453,715
232,Home Mortgage,,5 years,0,12,19.7,1051688,0,,0,618545,43383,
233,Home Mortgage,1159152,1 year,0,14,18.5,651310,0,,0,473632,23570,730
234,Home Mortgage,,3 years,0,21,28.7,1156232,0,,0,519251,27894,
235,Home Mortgage,,5 years,0,9,13.8,951676,0,,0,329593,12664,
236,Own Home,1533984,6 years,0,14,16,421850,0,,0,241547,31575,743
237,Home Mortgage,1570065,8 years,0,7,14.5,550000,0,,0,47500,17271,729
238,Home Mortgage,,10+ years,0,17,20.7,269148,0,,0,175503,32983,
239,Own Home,863341,10+ years,0,12,15.1,1226390,0,,0,134520,3137,751
240,Rent,749816,4 years,0,11,13,164780,1,,1,80693,16933,717
241,Own Home,753179,,0,13,21.5,462220,0,,0,162868,13055,739
242,Rent,860567,4 years,0,8,17.7,268070,0,,0,198645,13554,725
243,Home Mortgage,,3 years,0,19,10.1,289762,0,,0,135375,10842,
244,Rent,1325212,< 1 year,0,6,23.4,649770,0,,0,45448,906,745
245,Home Mortgage,1119024,10+ years,0,8,21.5,901516,0,,0,478819,11190,748
246,Rent,446025,< 1 year,0,3,30.1,749144,0,,0,32357,2070,723
247,Home Mortgage,1893426,,0,7,52.2,711524,0,,0,500802,41024,654
248,Home Mortgage,1539152,7 years,0,12,24.5,657052,0,,0,347852,18341,742
249,Home Mortgage,584079,5 years,0,4,22.5,281512,1,,1,38893,8031,736
250,Rent,1682545,5 years,0,11,15.4,709082,0,,0,596467,22714,739
251,Rent,730835,2 years,0,6,19.4,63184,0,,0,29089,14465,737
252,Rent,699162,8 years,0,6,26.6,200420,1,,1,84303,2220,711
253,Rent,759772,10+ years,0,14,24.5,528242,0,,0,101270,5736,748
254,Home Mortgage,1162572,2 years,2,11,36.5,928598,2,,0,441085,18601,738
255,Home Mortgage,1730349,< 1 year,0,12,17.2,1553596,0,,0,474981,31002,721
256,Rent,857660,1 year,0,6,19.7,291082,0,,,236816,3488,743
257,Home Mortgage,,2 years,0,15,13.6,1556390,0,,,524210,19613,
258,Rent,699181,3 years,0,10,17.9,190190,0,,0,44194,17596,731
259,Rent,1062556,4 years,0,17,19.6,894278,0,,0,402382,19480,703
260,Home Mortgage,1636622,7 years,0,10,27.7,988350,0,,0,29013,10147,750
261,Home Mortgage,1418768,10+ years,0,11,23.3,1155924,0,,0,618944,16907,742
262,Rent,,2 years,0,12,16.3,653202,0,,0,200830,26445,
263,Home Mortgage,1910678,10+ years,0,13,19.4,351208,0,,0,209893,24839,7470
264,Own Home,,< 1 year,0,8,20,228712,0,,0,121277,13222,
265,Home Mortgage,3542075,10+ years,0,13,26.5,846582,0,,0,628064,60805,731
266,Rent,,< 1 year,0,11,12.8,182314,0,,0,128478,10814,
267,Home Mortgage,2104003,4 years,0,5,16.5,130746,0,,0,93822,27527,7430
268,Own Home,665532,2 years,0,5,8.3,329054,0,,0,149188,3422,695
269,Home Mortgage,2431962,10+ years,0,12,24.6,350856,0,,0,169385,51679,746
270,Own Home,,10+ years,0,11,14,558250,0,,0,24586,930,
271,Rent,1319360,2 years,0,10,13.5,858242,0,,0,340955,19241,743
272,Home Mortgage,1425855,10+ years,0,8,15,888536,0,,0,307724,13427,743
273,Home Mortgage,,10+ years,0,5,43.9,906774,0,,0,232598,5075,
274,Rent,954389,10+ years,0,8,12.9,174394,0,,0,134653,16702,662
275,Rent,2889045,10+ years,0,12,16.2,1367806,0,,0,717041,29613,740
276,Home Mortgage,2073261,,0,25,42.1,1584308,0,,0,1082297,46648,734
277,Home Mortgage,,3 years,0,8,21.6,887502,0,,0,270560,11270,
278,Rent,1010724,< 1 year,0,13,16.7,151514,0,,0,127471,16087,687
279,Home Mortgage,,9 years,0,7,16.9,434984,0,,0,323076,16546,
280,Home Mortgage,,10+ years,0,17,23.3,1051886,0,,0,518738,95508,
281,Home Mortgage,1726492,10+ years,0,11,18.3,317922,0,,0,261383,48917,724
282,Home Mortgage,2150933,6 years,0,6,25.1,198748,0,,0,95437,7582,744
283,Home Mortgage,706268,5 years,0,4,14.3,129096,0,,0,96881,3102,728
284,Home Mortgage,953990,5 years,0,14,32.1,1603382,0,,0,844683,16377,710
285,Own Home,939170,2 years,0,8,10,356554,0,,0,232180,19331,664
286,Rent,1208324,10+ years,1,17,16.9,1875918,1,,0,635075,29302,688
287,Rent,1130956,10+ years,0,13,21.6,353980,0,,0,278502,17153,698
288,Home Mortgage,,1 year,0,6,10.4,693726,0,,0,225264,9791,
289,Rent,,2 years,0,6,18.7,924132,0,,0,59071,16116,
290,Rent,1434538,3 years,0,7,27.3,541200,0,,0,295868,17812,742
291,Home Mortgage,787949,10+ years,0,7,26,369490,0,,0,217303,15628,744
292,Home Mortgage,,10+ years,0,17,21.3,259050,1,,0,181222,22140,
293,Rent,1294850,7 years,0,9,13,163196,0,,0,127414,19315,729
294,Home Mortgage,2033931,7 years,0,6,21.1,0,0,,0,0,30340,742
295,Rent,1292988,10+ years,1,9,17.8,290246,1,,0,141626,12607,735
296,Rent,1532920,1 year,0,9,15,639078,0,,0,256652,12442,702
297,Rent,556662,< 1 year,0,10,16,193512,1,,1,98439,12015,6940
298,Home Mortgage,929100,5 years,0,13,22.5,268664,0,,0,88179,23924,746
299,Home Mortgage,1235741,10+ years,0,11,30.2,433620,1,,1,307838,23170,643
300,Home Mortgage,1589464,2 years,0,10,9.9,430826,0,,0,175978,6450,741
301,Home Mortgage,3017162,4 years,0,12,23.4,3935976,0,,0,836209,31932,750
302,Rent,,5 years,0,6,14.8,403216,0,,0,208943,11596,
303,Home Mortgage,855608,10+ years,0,11,18.1,563156,0,,0,285000,21604,749
304,Home Mortgage,1551616,10+ years,0,7,16.5,428890,0,,0,313006,15904,725
305,Rent,,< 1 year,0,32,9,96668,0,,0,47424,1870,
306,Home Mortgage,2260050,10+ years,0,19,23.5,1113068,0,,0,825740,45013,732
307,Home Mortgage,3705380,10+ years,0,13,17,1186526,0,,0,244910,9572,743
308,Rent,447659,2 years,0,5,17.5,140624,0,,0,32072,10744,719
309,Rent,1245792,3 years,0,5,22.4,0,0,,0,0,395,659
310,Home Mortgage,1642778,1 year,0,13,21,1359578,0,,0,549518,20809,739
311,Rent,746320,9 years,0,4,25.6,239668,0,,0,161044,3750,719
312,Home Mortgage,1338322,1 year,0,10,16.8,296890,0,,0,16150,9123,750
313,Rent,1215278,,0,18,15.4,1060752,0,,0,239096,16406,730
314,Rent,1021288,< 1 year,0,13,19.3,745360,0,,0,305121,16851,740
315,Home Mortgage,861935,8 years,0,11,12.5,391468,0,,0,50369,23128,666
316,Rent,918707,2 years,0,17,10.2,354574,0,,0,912,9187,735
317,Home Mortgage,1328670,< 1 year,0,10,17.9,261514,0,,0,129865,25023,740
318,Home Mortgage,559151,10+ years,0,5,17.8,447326,0,,0,84987,1580,742
319,Own Home,,< 1 year,0,2,10.5,0,0,,0,0,6432,
320,Rent,,5 years,0,9,8.9,314490,0,,0,118427,15838,
321,Rent,596163,4 years,0,8,16.8,144254,1,,1,70262,12668,734
322,Rent,674785,3 years,0,6,7.8,345862,0,,0,109630,10065,727
323,Rent,1251796,5 years,0,12,8.6,294184,0,,0,105184,28791,723
324,Rent,583281,3 years,0,8,4,225082,0,,0,101479,10207,737
325,Rent,468312,6 years,0,8,9.9,260172,0,,0,209399,6283,7170
326,Own Home,,10+ years,0,19,18.8,303886,0,,0,28861,22428,
327,Rent,1465337,5 years,0,9,17.7,125642,1,,1,62168,21248,747
328,Rent,719910,2 years,0,10,13.2,567578,0,,0,225473,11651,681
329,Rent,1245621,8 years,0,5,13.7,128700,0,,0,89034,1225,692
330,Rent,,5 years,0,3,10.7,26070,0,,0,19950,10772,
331,Rent,907098,2 years,0,11,12,314578,2,,2,8417,14211,738
332,Rent,732906,10+ years,0,11,23.5,509124,0,,0,193458,11055,717
333,Home Mortgage,960089,4 years,0,12,14.3,453442,1,,1,41515,2032,741
334,Home Mortgage,2077460,1 year,0,12,17.4,1242296,0,,0,952717,29950,721
335,Own Home,840047,3 years,0,12,21.8,395780,0,,0,232427,12251,735
336,Home Mortgage,,5 years,0,16,22,1506604,0,,0,230299,14106,
337,Home Mortgage,2113826,10+ years,0,11,18,1097360,0,,0,685197,36111,743
338,Rent,1716669,3 years,0,24,22.9,1054592,0,,0,418969,20600,724
339,Rent,506483,,0,15,12.3,533698,1,,1,70984,3900,722
340,Rent,673987,2 years,0,24,20.4,908468,1,,1,400919,18759,7300
341,Rent,,< 1 year,0,9,8.9,112684,0,,0,84664,14629,
342,Home Mortgage,,6 years,0,33,15.5,2369664,0,,0,648755,15379,
343,Rent,482752,1 year,0,6,15.8,364320,0,,0,147573,5391,716
344,Rent,1347613,2 years,0,4,7.7,108394,0,,0,50749,1763,713
345,Home Mortgage,1521824,10+ years,0,7,24.4,383416,0,,0,226822,14330,736
346,Rent,,5 years,0,8,11.9,331848,0,,0,243884,7537,
347,Home Mortgage,,10+ years,0,12,18.9,232782,1,,1,127870,19036,
348,Rent,892088,10+ years,0,16,17.2,790592,0,,0,102410,13456,747
349,Home Mortgage,867407,6 years,0,13,12,696146,0,,0,346902,16914,720
350,Home Mortgage,,4 years,0,6,24.8,1042712,0,,0,14402,816,
351,Own Home,2930275,4 years,0,19,18,1201332,0,,0,850763,36628,627
352,Rent,893665,7 years,0,2,9.5,38764,0,,0,12122,9979,711
